NGC3621       ;  ;  2.01; 0.49; ;   3.69; 0.16; ;  0.29; 0.09; ;   1.51; 0.16; ;  8.60; 0.77; ;  0.53; 0.05; ;   2.86; 0.39; ;  12.27; 0.62; ;  17.70; 1.08;HR   ;20,36,7         ;
NGC3627       ; <;  3.25;     ; ;   8.14; 0.29; ;  0.30; 0.08; ;   2.79; 0.15; ;  6.12; 0.57; ;  0.47; 0.04; ;   1.99; 0.53; ;   5.78; 0.96; ;  16.84; 1.90;HR   ;20,16,7         ;
NGC3783       ;  ; 12.90; 0.51; ;  19.82; 0.79; ; 19.54; 3.44; ;  26.18; 0.57; ;  7.58; 2.13; ; 13.82; 0.29; ;  39.25; 0.07; ;  18.55; 3.61; ;  19.37; 2.03;HR   ;44,9,26,8,47    ;
NGC3982       ;  ;  1.48; 0.33; ;  11.40; 0.34; ;  2.89; 0.31; ;   6.79; 0.30; ;  3.16; 0.39; ;  1.62; 0.30; ;   5.11; 0.40; ;  15.40; 0.61; ;  32.80; 1.07;HR+LR;41,11,26        ;
NGC4051       ;  ;  8.61; 1.63; ;  16.30; 0.95; ; 11.90; 1.06; ;  16.10; 1.09; ;  8.16; 1.17; ;  8.63; 1.61; ;  38.10; 3.52; ;  15.30; 3.53; ;  15.30; 1.34;HR   ;47              ;
IRAS12018+1941; <;  0.28;     ; ;   2.73; 0.27;<;  0.52;     ; ;   0.64; 0.06;<;  1.32;     ;<;  1.22;     ;<;   1.71;     ; ;       ;     ; ;       ;     ;HR+LR;46,18           ;
UGC7064       ;  ;  4.03; 0.17; ;   8.15; 0.91; ;  4.16; 0.15; ;   6.65; 0.24; ;  4.04; 0.28; ;  5.17; 0.24; ;  14.00; 0.40; ;   9.22; 0.63; ;  10.70; 0.70;HR   ;42              ;
IRAS12071-0444;  ;  1.46; 0.15; ;   5.25; 0.53; ;  2.88; 0.29; ;   5.09; 0.51; ;  1.86; 0.37; ;  3.71; 0.37; ;   6.55; 0.65; ;       ;     ; ;       ;     ;HR+LR;18,43           ;
NGC4151       ;  ; 84.80; 5.51; ; 134.00; 5.84; ; 75.70; 3.39; ; 214.50;11.20; ; 71.00; 5.05; ; 66.60; 4.43; ; 244.00; 9.07; ;  68.50; 5.90; ; 135.00; 3.77;HR   ;47              ;
NGC4303       ;  ;      ;     ; ;       ;     ; ;      ;     ; ;       ;     ; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;LR   ;47,b            ;
NGC4388       ;  ; 45.30; 0.76; ;  76.60; 0.97; ; 46.10; 0.86; ; 106.00; 1.11; ; 39.10; 1.19; ; 73.00; 1.05; ; 340.00; 2.15; ;  85.10; 2.78; ; 135.00; 2.76;HR   ;41,44,26,23     ;
NGC4418       ; <;  1.22;     ;<;   3.29;     ;<;  7.71;     ;<;   5.78;     ;<;  4.26;     ; ;      ;     ;<;  26.40;     ;<;  27.90;     ;<;  25.50;     ;HR   ;22              ;
3C273         ;  ;  3.60; 0.33; ;   1.14; 0.17; ;  2.12; 0.42; ;   4.16; 0.26; ;  2.55; 0.52;<;  0.90;     ; ;   8.54; 0.64; ;       ;     ; ;       ;     ;HR   ;9,23,8,47       ;
NGC4486       ;  ;      ;     ; ;   7.80; 0.10;<;  0.10;     ; ;   7.90; 0.20; ;  2.00; 0.20;<;  0.94;     ; ;   2.40; 0.40; ;   4.50; 0.50; ;       ;     ;HR+LR;17,29,26        ;
NGC4507       ;  ;  9.31; 0.68; ;  33.73; 2.63; ; 12.50; 1.39; ;  28.63; 2.36; ; 15.40; 2.67; ; 10.72; 1.96; ;  36.33; 4.14; ;  29.20; 4.19; ;  47.70; 4.72;HR   ;44,9,23,26,47   ;
NGC4569       ; <;  2.26;     ; ;  44.51; 1.16;<;  1.15;     ; ;  19.68; 0.50; ;  9.49; 1.11; ;      ;     ; ;   3.52; 0.42; ;   9.35; 0.98; ;  36.65; 1.37;HR   ;7               ;
NGC4579       ; <;  1.56;     ; ;  29.99; 0.92;<;  0.90;     ; ;  14.41; 0.43; ;  5.58; 1.11;<;  0.30;     ; ;   3.38; 0.11; ;   4.87; 0.45; ;  23.48; 0.56;HR   ;7,16            ;
NGC4593       ;  ;  3.92; 0.60; ;   7.32; 0.52; ;  3.53; 0.67; ;   7.25; 0.64; ;  2.66; 1.09; ;  9.76; 2.50; ;  13.20; 2.09; ;  10.60; 3.26; ;  14.50; 1.92;HR   ;47              ;
NGC4594       ;  ;      ;     ; ;  14.00; 1.40;<;  0.55;     ; ;  16.00; 1.60; ;      ;     ;<;  0.71;     ; ;   2.40; 0.24; ;   8.67; 0.53; ;  17.06; 0.55;HR   ;16,17,26,7      ;
IC3639        ;  ;  5.70; 0.28; ;  45.15; 0.54; ; 11.15; 0.61; ;  27.00; 0.44; ; 16.32; 0.48; ;  5.35; 0.67; ;  21.21; 0.58; ;  32.80; 1.62; ;  44.99; 1.62;HR+LR;40,11,26        ;
