3C234          ; ;      ;      ; ;       ;      ;<;    2.05;      ; ;   3.61; 1.20; ;       ;     ; ;       ;     ; ;   1.91;  0.76;3x3;
NGC3079        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ; 722.39;  7.16;3x3;
3C236          ; ;      ;      ; ;       ;      ;<;    5.39;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   2.40;  0.18;3x3;
NGC3227        ; ;      ;      ; ;   3.55;  0.68; ;  118.12;  2.66; ;  18.87; 2.33; ;   7.51; 1.16; ;   7.46; 0.87; ;  76.46;  1.69;c  ;
NGC3393        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  39.97;  1.63;3x3;
NGC3516        ; ;      ;      ; ;       ;      ; ;   23.84;  2.96; ;  26.95; 4.05; ;   4.82; 1.29;<;   3.20;     ; ;  21.62;  1.11;3x3;
IRAS11095-0238 ; ;  4.80;  1.21; ;   1.13;  0.77; ;    9.57;  1.67; ;       ;     ; ;   1.05; 0.43; ;   1.05; 0.32; ;  12.20;  0.77;c  ;
NGC3607        ; ;      ;      ; ;       ;      ; ;   12.99;  3.46; ;       ;     ; ;   4.05; 0.76; ;       ;     ; ;  14.47;  0.82;3x3;
NGC3621        ; ;      ;      ; ;       ;      ; ;   26.53;  4.18; ;  20.71; 2.74; ;   5.47; 2.37; ;       ;     ; ; 149.68;  3.89;3x3;
NGC3627        ; ;      ;      ; ;       ;      ; ;   57.30;  4.05; ;  12.55; 2.15; ;   9.15; 1.67; ;   4.68; 1.10; ; 108.31;  5.81;3x3;
NGC3783        ; ;      ;      ; ;   6.81;  1.48; ;   57.50;  2.01; ;  16.74; 1.92; ;   3.48; 0.65; ;   3.29; 0.06; ;  37.37;  0.87;3x3;
NGC3982        ; ;      ;      ;<;  12.00;      ; ;   56.36;  3.59; ;  18.54; 1.55; ;  18.68; 1.73; ;   4.86; 0.71; ; 239.31;  4.13;3x3;
NGC4051        ; ;      ;      ;<;   6.51;      ; ;   33.04;  2.34; ;   6.73; 1.30; ;   3.79; 0.54; ;   2.65; 0.36; ;  42.50;  0.86;3x3;
IRAS12018+1941 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   3.22;  0.78;3x3;
UGC7064        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  45.18;  0.91;3x3;
IRAS12071-0444 ;<; 10.71;      ;<;   6.78;      ; ;    4.80;  2.01; ;       ;     ; ;   0.61; 0.15; ;   1.45; 0.22; ;   9.88;  0.42;3x3;
NGC4151        ; ; 37.56;  9.56; ;  21.73;  2.00; ;  323.72;  3.07; ;  48.40; 2.87; ;   7.09; 0.76; ;  18.59; 0.36; ;  64.02;  1.32;3x3;
NGC4303        ; ;      ;      ; ;       ;      ; ;   45.93;  2.37; ;   9.36; 1.71; ;  14.28; 0.99; ;   3.91; 0.46; ;       ;      ;3x3;
NGC4388        ; ;      ;      ; ;  23.22;  4.10; ;  217.00;  4.76; ; 132.72; 3.41; ;  13.15; 1.61; ;  16.06; 1.00; ; 239.05;  2.04;3x3;
NGC4418        ;<; 55.70;      ;<;  14.68;      ;<;    6.83;      ;<;  11.97;     ; ;   2.51; 0.70; ;   1.49; 0.21; ;  20.67;  0.98;3x3;
3C273          ; ;  3.25;  0.60; ;   1.29;  0.62; ;    2.32;  0.60;<;  11.26;     ; ;   0.33; 0.13;<;   0.25;     ; ;   1.65;  0.26;c  ;
NGC4486        ; ;      ;      ; ;       ;      ;<;    4.79;      ; ;       ;     ; ;       ;     ;<;   0.43;     ; ;   2.62;  0.13;3x3;
NGC4507        ; ;      ;      ; ;       ;      ; ;  132.49;  2.78; ;  24.89; 3.01; ;   5.40; 1.12; ;   8.27; 0.50; ;  67.22;  1.14;3x3;
NGC4569        ; ;      ;      ; ;       ;      ; ;   52.54;  3.12; ;  16.37; 3.20; ;   6.27; 1.45; ;       ;     ; ; 107.08;  3.69;3x3;
NGC4579        ; ;      ;      ; ;       ;      ; ;   32.26;  7.92;<;  23.78;     ; ;   7.59; 2.43; ;       ;     ; ;  60.86;  2.16;3x3;
NGC4593        ; ;      ;      ; ;   1.66;  0.63; ;   17.10;  1.08; ;   4.09; 0.48; ;   2.11; 0.25; ;   1.58; 0.21; ;  13.35;  0.51;c  ;
NGC4594        ; ;      ;      ; ;       ;      ;<;   30.11;      ;<;  15.18;     ; ;   6.01; 2.67; ;       ;     ; ;  25.85;  1.66;3x3;
IC3639         ; ;      ;      ;<;  13.08;      ; ;   85.94;  4.49; ;  41.90; 1.70; ;   8.84; 1.65; ;   4.55; 0.42; ; 162.80;  5.10;3x3;
NGC4636        ; ;      ;      ; ;       ;      ; ;    4.19;  1.36; ;       ;     ; ;       ;     ;<;   0.88;     ; ;   8.89;  0.43;3x3;
PG1244+026     ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   1.71;  0.48;3x3;
NGC4696        ; ;      ;      ; ;       ;      ; ;    7.23;  2.66;<;   3.70;     ; ;   2.62; 0.26; ;   1.05; 0.32; ;  13.02;  0.93;3x3;
NGC4725        ; ;      ;      ; ;       ;      ;<;   16.12;      ;<;  14.27;     ; ; 126.05; 9.62; ;       ;     ; ;  11.51;  0.96;3x3;
NGC4736        ; ;      ;      ; ;       ;      ; ;   51.31;  4.00; ;  17.68; 3.37; ;  10.51; 0.87; ;   3.12; 0.63; ; 113.70;  4.23;3x3;
Mrk231         ; ; 64.06; 53.26;<;  25.99;      ; ;   35.42;  3.52; ;   7.43; 2.06; ;   9.22; 1.81; ;   3.55; 1.43; ;  42.95;  2.65;3x3;
NGC4826        ; ;      ;      ; ;       ;      ; ;  141.51;  6.72; ;  35.13; 3.18; ;  78.27; 6.85; ;  13.84; 1.76; ; 429.51; 10.26;3x3;
NGC4922        ; ;      ;      ; ;       ;      ; ;   30.66;  1.97; ;   9.29; 2.39; ;       ;     ; ;       ;     ; ;  41.38;  1.30;3x3;
NGC4941        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  21.03;  0.80;3x3;
NGC4945        ;<;962.43;      ; ; 248.99; 26.73; ; 1370.67; 33.76; ; 386.55;78.67; ; 556.30; 7.21; ; 458.49;24.16; ;2591.39; 38.07;3x3;
ESO323-G77     ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  99.30;  1.54;3x3;
NGC5033        ; ;      ;      ; ;  12.46;  2.10; ;   88.62;  2.35; ;  25.79; 2.58; ;  57.44; 1.71; ;   7.15; 0.45; ; 333.53;  1.75;3x3;
IRAS13120-5453 ; ;      ;      ; ;  16.00;  3.84; ;  124.15;  9.18; ;  30.08; 5.92; ;  33.66; 3.00; ;  20.04; 2.58; ; 152.23;  3.29;3x3;
MCG-03-34-064  ; ;      ;      ; ;       ;      ; ;   73.94;  7.14; ;  24.01; 1.77; ;       ;     ; ;       ;     ; ;  23.35;  1.42;3x3;
