NGC5194       ;       ;     ;       ;    ; ;  46.93; 0.84; ;       ;    ; ;  30.89;0.13; ;      ;    ; ; 32.25; 1.15; ;3x3;
MCG-06-30-015 ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.33; 0.07; ;3x3;
IRAS13342+3932;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ;<;  0.81;     ; ;3x3;
IRAS13349+2438;       ;     ;       ;    ; ;   0.70; 0.13; ;   0.38;0.03; ;       ;    ; ;      ;    ; ;  0.45; 0.05; ;c  ;
Mrk266SW      ;   4.74; 0.33;       ;    ; ;   6.94; 0.33; ;   8.23;0.58; ;   9.76;0.15; ;  8.15;0.24; ;  7.16; 0.19; ;3x3;
Mrk273        ;       ;     ;  22.78;0.33; ;  21.02; 0.39; ;  19.48;0.39; ;  15.22;0.14; ; 11.68;0.14; ; 10.24; 0.20; ;c  ;
PKS1345+12    ;   2.00; 0.04;   1.95;0.05; ;   1.96; 0.08; ;   1.38;0.32; ;   1.52;0.01; ;  1.12;0.04; ;  1.08; 0.03; ;c  ;
PKS1346+26    ;       ;     ;       ;    ; ;   0.22; 0.13;<;   0.26;    ;<;   0.06;    ; ;  0.05;0.03; ;      ;     ; ;3x3;
IC4329A       ;   1.16; 0.27;   2.13;0.19; ;   2.60; 0.22; ;   1.40;0.11; ;   1.39;0.06; ;  1.11;0.03; ;  1.26; 0.09; ;3x3;
3C293         ;       ;     ;       ;    ;<;   0.78;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;      ;     ; ;3x3;
NGC5347       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.23; 0.11; ;3x3;
Mrk463E       ;   1.19; 0.30;   1.88;0.12; ;   1.36; 0.37; ;   1.46;0.29; ;   1.65;0.03; ;  1.21;0.05; ;  1.01; 0.13; ;3x3;
Circinus      ;       ;     ; 277.17;1.14; ; 299.42; 1.38; ; 317.99;0.92; ; 284.83;0.41; ;224.35;0.80; ;196.62; 2.35; ;3x3;
NGC5506       ;   5.48; 0.92;   6.87;0.14; ;   8.29; 0.17; ;   7.93;0.29; ;   7.27;0.10; ;  6.26;0.10; ;  5.83; 0.26; ;3x3;
