NGC4388        ;12;25;46.7693;+;12;39;43.2396; 0.0084190;  18.000;27;S1h  ; ;41.82;N;15; ;40.25; ;40.45; ;41.12;0.760;0.200;18;UGC07520          ;
NGC4418        ;12;26;54.6206;-; 0;52;39.4500; 0.0072680;  23.900;29;S2   ; ;     ; ;  ;<;39.72; ;     ;<;40.26;     ;     ;  ;NGC4355           ;
3C273          ;12;29; 6.6953;+; 2; 3; 8.5932; 0.1583390;        ;  ;S1.0 ; ;45.70;N;57; ;42.13;<;41.76; ;42.73;     ;     ;  ;PG1226+023        ;
NGC4486        ;12;30;49.4266;+;12;23;27.8772; 0.0042830;  16.100; 4;LIN  ; ;40.80;N;19;<;37.49;<;38.46; ;38.87;     ;     ;  ;M87               ;
NGC4507        ;12;35;36.6329;-;39;54;33.5556; 0.0118010;        ;  ;S1h  ; ;43.10;N;21; ;40.55; ;40.49; ;41.02;1.300;0.200; 5;ESO322-G29        ;
NGC4569        ;12;36;49.7950;+;13; 9;46.5588;-0.0007840;   9.860; 2;LIN  ; ;39.84;N;24;<;38.13; ;     ; ;38.61;0.780;     ; 8;M90               ;
NGC4579        ;12;37;43.5170;+;11;49; 5.7180; 0.0050600;  18.800;31;LINb ; ;41.30;N;19;<;38.58;<;38.10; ;39.16;0.710;     ; 8;M58               ;
NGC4593        ;12;39;39.4550;-; 5;20;39.0156; 0.0091000;  37.200;29;S1.0 ; ;42.79;N;41; ;39.77; ;40.21; ;40.34;1.710;0.440;18;Mrk1330           ;
NGC4594        ;12;39;59.4331;-;11;37;22.6020; 0.0034160;   8.790;14;LIN  ; ;39.91;N;19;<;37.71;<;37.82; ;38.35;0.710;     ; 8;M104, Sombrero    ;
IC3639         ;12;40;52.8415;-;36;45;21.0672; 0.0109240;        ;  ;S1h  ; ;40.23;Y;18; ;40.44; ;40.12; ;40.72;     ;     ;  ;TOL1238-364       ;
NGC4636        ;12;42;49.8550;+; 2;41;16.2996; 0.0031290;  18.600; 4;LINb ; ;39.24;N;19; ;     ; ;     ; ;     ;     ;     ;  ;UGC07878          ;
PG1244+026     ;12;46;35.2579;+; 2;22; 8.9004; 0.0481780;        ;  ;S1n  ; ;43.20;N;21; ;40.43; ;40.74; ;40.88;     ;     ;  ;IRASF12440+0238   ;
NGC4696        ;12;48;49.2569;-;41;18;39.3408; 0.0098670;  38.900;16;LIN  ; ;40.08;N;19; ;     ; ;     ; ;38.43;     ;     ;  ;ESO322-G91        ;
NGC4725        ;12;50;26.5766;+;25;30; 2.8908; 0.0040230;  13.500;25;S2   ; ;38.90;N;21;<;37.92;<;38.04; ;38.59;0.460;     ; 8;UGC07989          ;
NGC4736        ;12;50;53.0830;+;41; 7;12.7236; 0.0010270;   4.200;20;LIN  ; ;38.60;N;19;<;36.40;<;37.21; ;37.63;0.760;0.050;13;M94               ;
Mrk231         ;12;56;14.2291;+;56;52;25.2192; 0.0421710;        ;  ;S1.0 ; ;42.52; ;16;<;41.06;<;41.84;<;41.56;     ;     ;  ;UGC08058          ;
NGC4826        ;12;56;43.6519;+;21;40;59.1528; 0.0013610;   5.500;27;S2   ;<;38.40; ;26;<;37.67; ;     ; ;38.19;0.800;     ; 6;M64               ;
NGC4922        ;13; 1;24.4958;+;29;18;30.1284; 0.0235860; 104.000;29;S2   ; ;     ; ;  ; ;40.55;<;40.53; ;40.88;     ;     ;  ;KISSB113          ;
NGC4941        ;13; 4;13.1066;-; 5;33; 5.6700; 0.0036960;  19.700;29;S2   ; ;40.50; ;21; ;39.58; ;39.53; ;40.18;1.500;0.500;15;MCG-01-33-077     ;
NGC4945        ;13; 5;27.2633;-;49;28; 3.9972; 0.0018780;   3.800;17;S2   ; ;42.30;Y;21; ;38.09;<;37.56; ;38.69;0.920;0.090;14;ESO219-G24        ;
ESO323-G77     ;13; 6;26.1154;-;40;24;52.6284; 0.0150140;        ;  ;S1.2 ; ;42.88;N;29; ;40.40; ;40.46; ;41.07;     ;     ;  ;MCG-07-27-032     ;
NGC5033        ;13;13;27.4738;+;36;35;38.1192; 0.0029190;  18.800;31;S1.8 ; ;41.10;N;21; ;38.25; ;38.31; ;39.33;0.900;0.100;13;UGC08307          ;
IRAS13120-5453 ;13;15; 6.3348;-;55; 9;22.7736; 0.0307610;        ;  ;S2   ; ;     ; ;  ; ;40.53;<;41.60; ;41.11;     ;     ;  ;LEDA083853        ;
MCG-03-34-064  ;13;22;24.4668;-;16;43;42.4488; 0.0165410;  76.200;29;S1h  ; ;42.62; ;40; ;41.64; ;41.42; ;41.90;     ;     ;  ;IRAS13197-1627    ;
CentaurusA     ;13;25;27.6499;-;43; 1; 9.2424; 0.0018250;   3.420; 5;S2   ; ;42.36;N;47; ;38.49; ;38.58; ;39.26;1.250;     ; 2;NGC5128           ;
NGC5135        ;13;25;44.0494;-;29;50; 0.7080; 0.0136930;        ;  ;S2   ; ;43.10;Y;21; ;40.28; ;40.77; ;41.44;1.020;     ; 9;ESO444-G32        ;
NGC5194        ;13;29;52.7143;+;47;11;42.6588; 0.0015440;   8.430;23;LIN  ; ;40.90;Y;21; ;37.80; ;38.14; ;38.83;1.500;0.100;13;M51A              ;
MCG-06-30-015  ;13;35;53.7667;-;34;17;44.2320; 0.0077490;        ;  ;S1.5 ; ;42.63;N;41; ;39.79; ;39.96; ;40.50;     ;     ;  ;ESO383-G035       ;
IRAS13342+3932 ;13;36;24.0535;+;39;17;31.0488; 0.1793100;        ;  ;S1   ; ;     ; ;  ; ;42.46; ;42.55; ;42.94;     ;     ;  ;LEDA084036        ;
IRAS13349+2438 ;13;37;18.7135;+;24;23; 3.1776; 0.1076410;        ;  ;S1n  ; ;43.88;N; 6;<;41.38;<;41.61; ;42.30;     ;     ;  ;LEDA101275        ;
Mrk266SW       ;13;38;17.2342;+;48;16;32.0232; 0.0276000;        ;  ;S2   ; ;42.20; ; 8; ;40.53; ;41.30; ;41.98;     ;     ;  ;NGC5256NED01      ;
Mrk273         ;13;44;42.0850;+;55;53;13.0236; 0.0377800;        ;  ;S2   ; ;43.05;N;19; ;41.55; ;41.67; ;42.24;0.960;     ; 3;UGC08696          ;
PKS1345+12     ;13;47;33.4116;+;12;17;24.0828; 0.1217400;        ;  ;S2   ; ;43.64;N;61;<;41.21;<;41.32; ;42.02;     ;     ;  ;4C+12.50          ;
PKS1346+26     ;13;48;52.4998;+;26;35;34.4256; 0.0632600; 285.000; 9;LIN  ; ;41.50;N;19; ;     ; ;     ; ;     ;     ;     ;  ;CGCG162-010       ;
IC4329A        ;13;49;19.2478;-;30;18;34.0812; 0.0160540;        ;  ;S1.2 ; ;43.74;N;41; ;41.19; ;41.27; ;41.80;1.580;0.400;18;ESO445-G50        ;
3C293          ;13;52;17.8126;+;31;26;46.5504; 0.0450340;        ;  ;LIN  ; ;42.26;N;35; ;     ; ;     ; ;40.07;     ;     ;  ;UGC08782          ;
NGC5347        ;13;53;17.8054;+;33;29;26.9160; 0.0077890;  35.500;29;S1h  ; ;42.40;Y;21; ;39.50;<;39.42; ;40.06;     ;     ;  ;UGC08805          ;
Mrk463E        ;13;56; 2.8855;+;18;22;18.1884; 0.0500000;        ;  ;S1h  ; ;43.18; ; 5; ;42.00; ;42.04; ;42.58;0.850;0.220;18;                  ;
Circinus       ;14;13; 9.8640;-;65;20;20.4180; 0.0014480;   4.210;31;S1h  ; ;41.90;Y;21; ;39.65;<;39.03; ;40.28;0.320;     ;12;ESO097-G13        ;
NGC5506        ;14;13;14.8757;-; 3;12;27.6984; 0.0061810;  27.200;29;S1h  ; ;43.00;N;21; ;40.70; ;40.76; ;41.30;0.640;0.170;18;Mrk1376           ;
NGC5548        ;14;17;59.5536;+;25; 8;12.6348; 0.0171750;  92.500;36;S1.5 ; ;42.80;N;21; ;40.74; ;40.60; ;41.25;     ;     ;  ;UGC09149          ;
Mrk1383        ;14;29; 6.5710;+; 1;17; 6.2196; 0.0865700;        ;  ;S1.0 ; ;44.10;N;21; ;41.17; ;41.11; ;41.71;     ;     ;  ;PG1426+015        ;
Mrk478         ;14;42; 7.4724;+;35;26;22.9236; 0.0790550;        ;  ;S1n  ; ;43.80;N;21; ;41.31; ;41.43; ;41.95;     ;     ;  ;PG1440+356        ;
NGC5728        ;14;42;23.8990;-;17;15;10.7820; 0.0093530;  39.000;21;S1.9 ; ;43.00;Y;21; ;40.60; ;40.71; ;41.32;1.480;     ; 3;MCG-03-37-005     ;
3C305          ;14;49;21.5957;+;63;16;13.9512; 0.0416390;        ;  ;S2   ; ;41.16;N;35; ;     ; ;     ; ;41.69;     ;     ;  ;IC1065            ;
IC4518A        ;14;57;41.1614;-;43; 7;55.2540; 0.0162610;        ;  ;S2   ; ;42.50;N;54; ;41.14; ;41.12; ;41.67;     ;     ;  ;MCG-07-31-001     ;
NGC5793        ;14;59;24.7471;-;16;41;36.4236; 0.0116450;        ;  ;S2   ; ;41.26;Y;22; ;39.48;<;39.90; ;40.36;     ;     ;  ;MCG-03-38-038     ;
IRAS15001+1433 ;15; 2;31.9342;+;14;21;35.3376; 0.1627460;        ;  ;S2   ; ;     ; ;  ; ;41.88; ;41.65; ;42.07;     ;     ;  ;LEDA090196        ;
3C317          ;15;16;44.4874;+; 7; 1;17.7420; 0.0344570; 147.000;29;S2   ; ;41.69;N;14; ;     ; ;     ; ;39.83;     ;     ;  ;UGC9799           ;
Mrk848B        ;15;18; 6.1210;+;42;44;44.8116; 0.0401910;        ;  ;LIN  ; ;41.13;N;19;<;40.06;<;40.44;<;40.99;     ;     ;  ;VV705             ;
IRAS15176+5216 ;15;19; 7.3690;+;52; 6; 5.8716; 0.1390630;        ;  ;S2   ; ;     ; ;  ;<;42.36; ;     ; ;42.26;     ;     ;  ;SBS1517+522       ;
Arp220         ;15;34;57.2443;+;23;30;11.4048; 0.0181260;        ;  ;S2   ; ;40.88;N;61;<;40.30;<;40.98;<;41.16;     ;     ;  ;IC4553            ;
NGC5990        ;15;46;16.3632;+; 2;24;55.5840; 0.0128060;  49.300;29;S2   ; ;     ; ;  ; ;39.61;<;39.47; ;40.63;     ;     ;  ;UGC10024          ;
IRAS15462-0450 ;15;48;56.8114;-; 4;59;33.5292; 0.0997920;        ;  ;S1n  ; ;43.05;N;62;<;40.84;<;41.39;<;41.92;     ;     ;  ;LEDA090222        ;
PKS1549-79     ;15;56;58.8979;-;79;14; 4.2180; 0.1522000;        ;  ;S1h  ; ;44.82;N;20; ;     ; ;     ; ;42.26;     ;     ;  ;IRAS15494-7905    ;
Mrk876         ;16;13;57.1718;+;65;43; 9.9444; 0.1290000;        ;  ;S1.0 ; ;44.20;N;21; ;41.65; ;41.42; ;42.43;     ;     ;  ;PG1613+658        ;
NGC6166        ;16;28;38.2543;+;39;33; 4.1436; 0.0303540; 129.000;29;S1-Q ; ;42.65;N;14; ;     ; ;     ; ;39.83;     ;     ;  ;3C338             ;
Mrk883         ;16;29;52.8703;+;24;26;38.0976; 0.0374960;        ;  ;S1.9 ; ;42.83;N;42; ;     ; ;     ; ;41.44;     ;     ;  ;VV807             ;
NGC6240        ;16;52;58.8862;+; 2;24; 3.6288; 0.0244800;        ;  ;LIN  ; ;42.44;Y;19; ;40.74;<;40.86; ;41.53;1.450;     ; 1;IC4625            ;
IRAS17208-0014 ;17;23;21.9626;-; 0;17; 0.8088; 0.0428100;        ;  ;LIN  ; ;41.25;N;19;<;40.60;<;41.10;<;40.98;     ;     ;  ;                  ;
IRAS18216+6418 ;18;21;57.2215;+;64;20;36.0708; 0.2970000;        ;  ;S1.2 ; ;45.33;N;57; ;43.08; ;43.08; ;43.78;     ;     ;  ;KUV18217+6419     ;
Fairall49      ;18;36;58.2146;-;59;24; 8.2332; 0.0200210;        ;  ;S1h  ; ;43.51;N;57; ;41.34; ;41.12; ;41.51;     ;     ;  ;IRAS18325-5926    ;
ESO103-G35     ;18;38;20.3078;-;65;25;39.2412; 0.0132860;        ;  ;S2   ; ;43.35;N;54; ;40.80; ;40.57; ;41.10;     ;     ;  ;IRAS18333-6528    ;
ESO140-G043    ;18;44;53.9914;-;62;21;52.8264; 0.0141780;  57.200;29;S1.5 ; ;42.93;N;32; ;40.44; ;40.44; ;40.96;     ;     ;  ;Fairall51         ;
NGC6786        ;19;10;53.9232;+;73;24;36.6444; 0.0250170;        ;  ;S2   ; ;     ; ;  ;<;40.00; ;     ; ;40.03;     ;     ;  ;VV414E            ;
ESO141-G55     ;19;21;14.1430;-;58;40;12.9828; 0.0371090;        ;  ;S1.2 ; ;44.04;N;57; ;40.82; ;40.68; ;41.33;     ;     ;  ;AM1916-584        ;
IRAS19254-7245 ;19;31;21.4243;-;72;39;21.4848; 0.0617090;        ;  ;S1h  ; ;44.50;Y;21; ;41.37;<;41.13; ;41.73;     ;     ;  ;Superantennae     ;
ESO339-G11     ;19;57;37.5576;-;37;56; 8.3112; 0.0191990;  77.600;29;S2   ; ;     ; ;  ; ;41.25; ;41.09; ;41.50;     ;     ;  ;MCG-06-43-014     ;
3C405          ;19;59;28.3490;+;40;44; 2.0616; 0.0560750;        ;  ;S1.9 ; ;44.09;N;56; ;42.15; ;42.23; ;42.73;0.670;0.030;17;Cygnus A          ;
IRAS20037-1547 ;20; 6;31.8302;-;15;39; 6.8184; 0.1918990;        ;  ;S1   ; ;     ; ;  ;<;41.57;<;41.77;<;41.72;     ;     ;  ;LEDA165836        ;
